STIM	SCat
"公鸡"	1
"燕子"	1
"青蛙"	1
"水牛"	1
"老鼠"	1
"山羊"	1
"黑狗"	1
"熊猫"	1
"黄牛"	1
"松鼠"	1
"野鸭"	1
"老虎"	1
"兔子"	1
"大象"	1
"猴子"	1
"狮子"	1
"乌龟"	1
"乌鸦"	1
"蝌蚪"	1
"黑熊"	1
"孔雀"	1
"大雁"	1
"海鸥"	1
"蜘蛛"	1
"壁虎"	1
"房屋"	2
"花朵"	2
"白云"	2
"马车"	2
"飞机"	2
"高山"	2
"故乡"	2
"茶几"	2
"明月"	2
"尘土"	2
"竹排"	2
"鸟岛"	2
"皮球"	2
"商场"	2
"土地"	2
"跑步"	2
"早晨"	2
"胡子"	2
"木鱼"	2
"毛巾"	2
"贺卡"	2
"雨伞"	2
"沙发"	2
"尾巴"	2
"雪人"	2
