STIM,SCat
"āuh",2
"méin",2
"bàg",2
"lù",1
"rànɡ",1
"dluī",2
"xìnɡ",1
"cónɡ",1
"huà",1
"hsū",2
"ɡuānɡ",1
"wāin",2
"yè",1
"bǐg",2
"hóu",1
"uǎn",2
"biǐ",2
"xìnɡ",1
"zhēn",1
"jāin",2
"tiān",1
"qiū",1
"liǎm",2
"máio",2
"jiān",1
"siān",2
"māo",1
"fiàn",2
"niág",2
"jīnq",2
"wài",1
"xǔng",2
"tián",1
"nàl",2
"xiiē",2
"wū",1
"shēnɡ",1
"pāi",1
"boì",2
"dòu",1
"dòn",2
"poǎ",2
"iàn",2
"chī",1
"biān",1
"lám",2
"zhèɡ",2
"yǔ",1
"xuě",1
"shǎo",1
