STIM,SCat
0,"Non-Target"
1,"Non-Target"
2,"Non-Target"
3,"Non-Target"
4,"Target"
5,"Target"
6,"Target"
7,"Target"
8,"Target"
9,"Target"
10,"Non-Target"
11,"Non-Target"
