STIM	SCat
"各"	1
"力"	1
"四"	1
"爱"	1
"众"	1
"次"	1
"泪"	1
"办"	1
"块"	1
"互"	1
"过"	1
"代"	1
"去"	1
"认"	1
"弄"	1
"入"	1
"动"	1
"燕"	1
"妙"	1
"校"	1
"立"	1
"变"	1
"放"	1
"再"	1
"到"	1
"多"	2
"家"	2
"巴"	2
"他"	2
"光"	2
"春"	2
"吃"	2
"语"	2
"灰"	2
"反"	2
"迷"	2
"活"	2
"习"	2
"牙"	2
"洋"	2
"打"	2
"平"	2
"门"	2
"节"	2
"祖"	2
"杆"	2
"早"	2
"总"	2
"品"	2
"百"	2
