ClsStr	Encode
""	""
"一"	"1"
"二"	"2"
"三"	"3"
"四"	"4"
"五"	"5"
"六"	"6"
"七"	"7"
"八"	"8"
"九"	"9"
"十"	"10"
"十一"	"11"
"十二"	"12"
"十三"	"13"
"十四"	"14"
"十五"	"15"
"1"	"1"
"2"	"2"
"3"	"3"
"4"	"4"
"5"	"5"
"6"	"6"
"7"	"7"
"8"	"8"
"9"	"9"
"10"	"10"
"11"	"11"
"12"	"12"
"13"	"13"
"14"	"14"
"15"	"15"
